"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11952","Should clear all fields when reset","firefox","Wed Jun 25 19:08:23 GMT+02:00 2025","passed","Wed Jun 25 19:08:35 GMT+02:00 2025","Financial Information Form > Form Field Validation","financialInfo.spec.ts","",""
"","10358","User can sign out and is redirected to login page","firefox","Wed Jun 25 19:06:10 GMT+02:00 2025","passed","Wed Jun 25 19:06:21 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","25846","Should handle minimum length account number","chromium","Wed Jun 25 18:49:55 GMT+02:00 2025","passed","Wed Jun 25 18:50:21 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","29466","Should successfully submit standard bank details","firefox","Wed Jun 25 19:01:33 GMT+02:00 2025","passed","Wed Jun 25 19:02:03 GMT+02:00 2025","Bank Details Form Tests > Valid Scenarios","bankDetails.spec.ts","",""
"","25100","Should handle international address","chromium","Wed Jun 25 18:46:30 GMT+02:00 2025","passed","Wed Jun 25 18:46:55 GMT+02:00 2025","Address Details Form Tests > Edge Cases","addressDetails.spec.ts","",""
"","26495","Should handle maximum length account number","chromium","Wed Jun 25 18:49:29 GMT+02:00 2025","passed","Wed Jun 25 18:49:55 GMT+02:00 2025","Bank Details Form Tests > Edge Cases","bankDetails.spec.ts","",""
"","8643","User can open the user menu","chromium","Wed Jun 25 18:50:55 GMT+02:00 2025","passed","Wed Jun 25 18:51:03 GMT+02:00 2025","Dashboard Tests","dashboard.spec.ts","",""
"","27643","Should show error with invalid mobile","firefox","Wed Jun 25 19:11:33 GMT+02:00 2025","passed","Wed Jun 25 19:12:01 GMT+02:00 2025","Personal Details Form > Invalid Scenarios","personalDetails.spec.ts","",""
"","30160","Should successfully submit standard address details","firefox","Wed Jun 25 18:56:34 GMT+02:00 2025","broken","Wed Jun 25 18:57:04 GMT+02:00 2025","Address Details Form Tests > Valid Scenarios","addressDetails.spec.ts","",""
"","12342","Should show error with negative amounts","firefox","Wed Jun 25 19:07:22 GMT+02:00 2025","passed","Wed Jun 25 19:07:34 GMT+02:00 2025","Financial Information Form > Invalid Scenarios","financialInfo.spec.ts","",""
"","0","Should successfully open uploaded documents","firefox","Wed Jun 25 19:06:21 GMT+02:00 2025","skipped","Wed Jun 25 19:06:21 GMT+02:00 2025","Document Upload Tests","documentUploads.spec.ts","",""
